CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,FCLTY_NM,RPRSNTV_TEL_NO,ZIP_NO,FCLTY_ADDR,FCLTY_DETAIL_ADDR,MAIN_ITEM_CD,MAIN_ITEM_NM,FCLTY_CRDNT_LO,FCLTY_CRDNT_LA,COURSE_FLAG_CD,COURSE_ITEM_NM,COURSE_NM
"11","서울","11440","마포구","마크짐 망원점","023323630","03962","서울특별시 마포구 월드컵로 155","6층(망원동)","25","헬스","126.9049244","37.5613848","장애인강좌",,
"11","서울","11620","관악구","타이거복싱체육관","028837080","08752","서울특별시 관악구 양녕로 13","3층 타이거복싱체육관(봉천동)","76","복싱","126.9463088","37.4832657","장애인강좌",,
"11","서울","11620","관악구","왕호태권도","028771245","08793","서울특별시 관악구 인헌6길 16","농협2층 왕호태권도(봉천동)","22","태권도","126.9660221","37.4741092","장애인강좌",,
"11","서울","11470","양천구","필라테스더랩","0226480177","07965","서울특별시 양천구 등촌로 32","501호(목동)","79","필라테스","126.8641657","37.5328886","장애인강좌",,
"11","서울","11215","광진구","군자복싱다이어트","024681282","04997","서울특별시 광진구 능동로 267","영진빌딩 2층(군자동)","76","복싱","127.0774022","37.5539179","장애인강좌",,
"11","서울","11410","서대문구","거산MMA태권도장","0232751212","03619","서울시 서대문구 세검정로 89","MKA빌딩 2층","03","기타종목","126.9486773","37.5957705","장애인강좌",,
"11","서울","11560","영등포구","영등포구시설관리공단(영등포다목적배드민턴체육관)","0226302995","07375","서울특별시 영등포구 도신로15길 5","배드민턴체육관(도림동)","09","배드민턴","126.8982002","37.5059713","장애인강좌",,
"11","서울","11710","송파구","거원태권도","024041888","05779","서울특별시 송파구 양산로4길 13","우토파크빌딩 5층 거원태권도(거여동)","22","태권도","127.1447458","37.4900060","장애인강좌",,
"11","서울","11230","동대문구","로하필라테스","0222153385","02501","서울특별시 동대문구 망우로 122-1","거부빌딩 7층(휘경동)","79","필라테스","127.0667795","37.5911581","장애인강좌",,
"11","서울","11500","강서구","화곡와이어주짓수","0263692310","07718","서울특별시 강서구 화곡로 128","2층(화곡동)","110","주짓수","126.8360673","37.5402441","장애인강좌",,
"11","서울","11320","도봉구","해솔태권도장","029568575","01362","서울특별시 도봉구 방학로 223","2층 205호(방학동)","22","태권도","127.0275081","37.6613238","장애인강좌",,
"11","서울","11200","성동구","필라테스가든 평생교육원","0222811929","04762","서울특별시 성동구 사근동길 6","2층 필라테스가든 한양대점(행당동)","79","필라테스","127.0420376","37.5601514","장애인강좌",,
"11","서울","11350","노원구","필탁구클럽",,"01684","서울특별시 노원구 상계로27길 7","지하(상계동)","21","탁구","127.0705964","37.6589190","장애인강좌",,
"11","서울","11290","성북구","필라테스B&E",,"02804","서울특별시 성북구 종암로23길 35","래미안세레니티 아파트 상가B1(종암동, 래미안세레니티)","79","필라테스","127.0313424","37.5993452","장애인강좌",,
"11","서울","11560","영등포구","건강더하기헬스","028492831","07316","서울특별시 영등포구 도신로 227","4층 건강더하기헬스(신길동)","25","헬스","126.9162603","37.5121385","장애인강좌",,
"11","서울","11560","영등포구","영등포구시설관리공단(영등포 제1스포츠센터)","0226501512","07398","서울특별시 영등포구 신풍로 1","(신길동)","25","헬스","126.9062946","37.5005379","장애인강좌",,
"11","서울","11410","서대문구","메디컬필라테스&PT",,"03630","서울특별시 서대문구 홍제원길 15-6","102호(홍제동, 목련빌라)","79","필라테스","126.9476503","37.5871548","장애인강좌",,
"11","서울","11470","양천구","코리안탑팀","0226475104","08009","서울특별시 양천구 신목로 80","3층(신정동)","76","복싱","126.8743889","37.5218662","장애인강좌",,
"11","서울","11350","노원구","중앙태권도","0290987898","01634","서울특별시 노원구 상계로39길 34","3층(상계동)","22","태권도","127.0813289","37.6714316","장애인강좌",,
"11","서울","11545","금천구","이파필라테스 금천점","028029609","08628","서울특별시 금천구 시흥대로 224","6층 에스바디워크필라테스(시흥동)","79","필라테스","126.9013002","37.4539296","장애인강좌",,
"11","서울","11650","서초구","(#비대면) 콰트","0262030552","06611","서울특별시 서초구 서초대로77길 55","9층(서초동)","79","필라테스","127.0244659","37.5021008","장애인강좌",,
"11","서울","11740","강동구","필라테스192 천호점","024789670","05328","서울특별시 강동구 구천면로 192","푸르지오 301호 필라테스(천호동)","79","필라테스","127.1258416","37.5403622","장애인강좌",,
"11","서울","11560","영등포구","영등포검도관","028325040","07352","서울특별시 영등포구 도신로 252","영등포검도관(신길동)","01","검도","126.9185618","37.5134353","장애인강좌",,
"11","서울","11530","구로구","용인대MTA태권도","0220663338","08365","서울특별시 구로구 천왕로 36","천왕센타프라자 5층 MTA태권도(천왕동)","22","태권도","126.8393789","37.4808802","장애인강좌",,
"11","서울","11545","금천구","위너스스포츠센터","028912747","08623","서울특별시 금천구 시흥대로 296","볼링장 1층(독산동)","10","볼링","126.8992850","37.4596887","장애인강좌",,
"11","서울","11215","광진구","건대탁구클럽","0260151952","05054","서울특별시 광진구 아차산로 324","지하 101호 건대탁구클럽(자양동)","21","탁구","127.0787669","37.5374240","장애인강좌",,
"11","서울","11380","은평구","건민체육관",,"03357","서울특별시 은평구 통일로 796","아파트상가 132호(불광동, 북한산 힐스테이트7차)","22","태권도","126.9264534","37.6160938","장애인강좌",,
"11","서울","11380","은평구","해봄아동청소년발달센터","023525857","03306","서울특별시 은평구 진관2로 29-21","드림스퀘어 802호 해봄아동청소년발달센터(진관동)","03","기타종목","126.9193479","37.6357288","장애인강좌",,
"11","서울","11215","광진구","머슬킹","024618234","04910","서울특별시 광진구 면목로 126","3층머슬킹(중곡동)","25","헬스","127.0807832","37.5644968","장애인강좌",,
"11","서울","11680","강남구","대치통합발달심리센터",,"06205","서울특별시 강남구 선릉로 320","성진빌딩 지하1층","03","기타종목","127.0522104","37.4982857","장애인강좌",,
"11","서울","11350","노원구","건영볼링센타","0233995351","01779","서울특별시 노원구 섬밭로 258","지하 2층 건영볼링센타(중계동)","10","볼링","127.0648461","37.6388763","장애인강좌",,
"11","서울","11740","강동구","머슬비치짐",,"05415","서울특별시 강동구 아리수로93나길 54","경서빌딩 3층 머슬비치짐(강일동)","25","헬스","127.1748530","37.5722002","장애인강좌",,
"11","서울","11710","송파구","백호합기도1관","024073230","05739","서울특별시 송파구 성내천로 77","2층(오금동)","75","합기도","127.1382604","37.5016151","장애인강좌",,
"11","서울","11230","동대문구","피트니스오늘&필라테스",,"02629","서울특별시 동대문구 장한로 29","상영빌딩 지하1층(장안동)","79","필라테스","127.0660817","37.5641915","장애인강좌",,
"11","서울","11680","강남구","삼성2동복합문화센터","0221760671","06097","서울특별시 강남구 봉은사로 419","4층 삼성2동복합문화센터(삼성동)","25","헬스","127.0459500","37.5112000","장애인강좌",,
"11","서울","11740","강동구","원 탑 태권도","024829386","05321","서울특별시 강동구 천중로17길 37","2층 원 탑 태권도(천호동)","22","태권도","127.1308512","37.5465377","장애인강좌",,
"11","서울","11545","금천구","한누리고려대중태권도장","028047772","08657","서울특별시 금천구 탑골로 30","2,3층(시흥동)","22","태권도","126.9123909","37.4517693","장애인강좌",,
"11","서울","11410","서대문구","피트니스더블유","023039755","03692","서울특별시 서대문구 증가로 133","3층(남가좌동)","25","헬스","126.9226282","37.5773206","장애인강좌",,
"11","서울","11410","서대문구","검수원검도관","023126343","03757","서울특별시 서대문구 북아현로4길 2","지층(북아현동)","01","검도","126.9568277","37.5592341","장애인강좌",,
"11","서울","11350","노원구","격술원",,"01821","서울특별시 노원구 노원로 29","상가305호(공릉동, 우성아파트)","22","태권도","127.0850709","37.6244827","장애인강좌",,
"11","서울","11680","강남구","경기검도관","024519112","06335","서울특별시 강남구 개포로 615","B1 109호 경기검도관(개포동)","01","검도","127.0756013","37.4926645","장애인강좌",,
"11","서울","11215","광진구","광진발달장애인평생교육센터","024551221","05051","서울특별시 광진구 아차산로 390","제일빌딩 3-4층(자양동)","10","볼링","127.0861555","37.5369205","장애인강좌",,
"11","서울","11350","노원구","피트니스 뭅",,"01763","서울특별시 노원구 동일로 1365","502호(상계동)","25","헬스","127.0612598","37.6505982","장애인강좌",,
"11","서울","11710","송파구","머슐랭가이드","024163040","05645","서울특별시 송파구 오금로 247","B101(방이동)","79","필라테스","127.1208949","37.5063635","장애인강좌",,
"11","서울","11350","노원구","한양대엘리트태권도장","029392442","01648","서울특별시 노원구 덕릉로 740","정진빌딩 6층 한양대엘리트태권도(상계동)","22","태권도","127.0764125","37.6636595","장애인강좌",,
"11","서울","11260","중랑구","참피온 탁구장","024917535","02066","서울특별시 중랑구 망우로 469","3층 302호(망우동)","21","탁구","127.1043296","37.6007810","장애인강좌",,
"11","서울","11560","영등포구","주식회사와우스포츠아카데미","027860955","07340","서울특별시 영등포구 국제금융로 79","롯데슈퍼 지하1층  와우수영장(여의도동, 한양아파트)","12","수영","126.9323230","37.5215706","장애인강좌",,
"11","서울","11320","도봉구","창동 와우필라테스","029046668","01414","서울특별시 도봉구 마들로11가길 6-25","2층 와우필라테스(창동, 월가타워)","79","필라테스","127.0490676","37.6522164","장애인강좌",,
"11","서울","11290","성북구","보성태권도","0262231533","02803","서울특별시 성북구 종암로27길 37","3층(종암동, 삼성 래미안아파트)","22","태권도","127.0305744","37.6021271","장애인강좌",,
"11","서울","11380","은평구","크로스 복싱 클럽","023077982","03449","서울특별시 은평구 은평로 46","크로스 복싱클럽 5층(신사동)","76","복싱","126.9131123","37.5983117","장애인강좌",,
"11","서울","11500","강서구","경수태권도공부방스포츠클럽","0226058880","07655","서울특별시 강서구 까치산로 176","3층 경수태권도공부방스포츠클럽(화곡동)","22","태권도","126.8534815","37.5527230","장애인강좌",,
"11","서울","11260","중랑구","맹호태권도","024324002","02153","서울특별시 중랑구 봉우재로 141","3층 맹호태권도(상봉동)","22","태권도","127.0886660","37.5933775","장애인강좌",,
"11","서울","11545","금천구","열매점핑허브다이어트","0271416481","08566","서울특별시 금천구 독산로40길 49","3층(시흥동)","03","기타종목","126.9071731","37.4610298","장애인강좌",,
"11","서울","11290","성북구","국제복싱체육관","07081611212","02861","서울특별시 성북구 보문로 189","측면 3층 국제복싱체육관(삼선동4가)","76","복싱","127.0142997","37.5906217","장애인강좌",,
"11","서울","11590","동작구","보라매 쉐르빌 탁구장",,"07071","서울특별시 동작구 보라매로5길 43","지하 1층 쉐르빌 탁구장(신대방동, 보라매삼성쉐르빌)","21","탁구","126.9234164","37.4914777","장애인강좌",,
"11","서울","11305","강북구","국심검도관(대무관)","029888844","01222","서울특별시 강북구 월계로13길 7","B1(미아동)","01","검도","127.0345366","37.6116915","장애인강좌",,
"11","서울","11320","도봉구","창동문화체육센터","029015039","01412","서울특별시 도봉구 노해로69길 132","3층사무실(창동)","25","헬스","127.0507056","37.6581175","장애인강좌",,
"11","서울","11200","성동구","열린금호교육문화관","0222047650","04726","서울특별시 성동구 무수막길 69","열린금호교육문화관(금호동2가)","03","기타종목","127.0198751","37.5527068","장애인강좌",,
"11","서울","11590","동작구","파랑새아동발달센터","028269949","06970","서울특별시 동작구 상도로 301","지하 1층, 지상 4층 파랑새아동발달센터(상도1동)","03","기타종목","126.9499692","37.5009948","장애인강좌",,
"11","서울","11350","노원구","(주식회사)박재현재활운동센터","0218118861","01849","서울특별시 노원구 동일로 986","102동 2층 213호(공릉동, 노원 프레미어스 엠코)","03","기타종목","127.0762120","37.6184810","장애인강좌",,
"11","서울","11530","구로구","이지EG심리감각운동발달센터","0220662680","08218","서울특별시 구로구 중앙로 64","2층 이지심리감각운동발달센터(고척동)","03","기타종목","126.8627487","37.5037585","장애인강좌",,
"11","서울","11410","서대문구","매직짐","023798815","03628","서울특별시 서대문구 통일로 484","유진상가2층 매직짐(홍제동)","25","헬스","126.9429917","37.5915888","장애인강좌",,
"11","서울","11710","송파구","경찰 태권도 & 파워점핑","024081112","05822","서울특별시 송파구 오금로40길 40","대성빌딩 2층, 지층(가락동)","03","기타종목","127.1287934","37.4971975","장애인강좌",,
"11","서울","11410","서대문구","플러스파인","0290260480","03780","서울특별시 서대문구 신촌역로 17","203호(대현동)","79","필라테스","126.9424355","37.5582853","장애인강좌",,
"11","서울","11710","송파구","더샾필라테스&요가 송파점","024208252","05645","서울특별시 송파구 오금로 247","건양빌딩 지층(방이동)","79","필라테스","127.1208949","37.5063635","장애인강좌",,
"11","서울","11620","관악구","지에이스포츠센터","07041119696","08716","서울특별시 관악구 은천로 37","3층(봉천동)","20","축구(풋살)","126.9395881","37.4863545","장애인강좌",,
"11","서울","11350","노원구","경희대 대한태권도","029334848","01671","서울특별시 노원구 한글비석로 474","보람아파트 2단지상가 308호(상계동)","22","태권도","127.0654593","37.6648282","장애인강좌",,
"11","서울","11620","관악구","경희대 박병호 태권도","028824485","08717","서울특별시 관악구 국회단지길 7","4층 경희대박병호태권도(봉천동)","22","태권도","126.9392364","37.4866625","장애인강좌",,
"11","서울","11230","동대문구","장안휘트니스","07081116228","02623","서울특별시 동대문구 답십리로 252","4층 장안휘트니스(장안동)","25","헬스","127.0682309","37.5722491","장애인강좌",,
"11","서울","11560","영등포구","이재일탁구클럽","0220691400","07228","서울특별시 영등포구 영중로 131-10","2층 이재일탁구클럽(영등포동8가)","21","탁구","126.9045739","37.5283899","장애인강좌",,
"11","서울","11350","노원구","경희대 상경태권도","029393222","01617","서울특별시 노원구 동일로227길 26","상가동3층,학원동3층(상계동, 상계주공15단지아파트)","22","태권도","127.0556110","37.6683012","장애인강좌",,
"11","서울","11470","양천구","CBS 기독교방송 (종합문화센터)","0226507034","07997","서울특별시 양천구 목동서로 159-1","CBS기독교방송 9층(목동)","03","기타종목","126.8748763","37.5283079","장애인강좌",,
"11","서울","11620","관악구","경희대 석사 현대 태권도","028779001","08715","서울특별시 관악구 은천로 93","벽산블루밍아파트 101동 상가 412,413호(봉천동, 벽산블루밍아파트)","22","태권도","126.9450490","37.4895169","장애인강좌",,
"11","서울","11740","강동구","위드유짐","0223441322","05336","서울특별시 강동구 천호대로 1055","태영아파트102동 상가B01호 위드유짐(천호동, 천호태영아파트)","25","헬스","127.1299458","37.5384706","장애인강좌",,
"11","서울","11410","서대문구","삼성 태권도장","023758333","03686","서울시 서대문구 증가로 191","306~308호","22","태권도","126.9166617","37.5782468","장애인강좌",,
"11","서울","11590","동작구","경희대 용호태권도",,"07035","서울특별시 동작구 양녕로30길 4","1층 경희대 용호태권도(상도동)","22","태권도","126.9445135","37.4992634","장애인강좌",,
"11","서울","11290","성북구","경희대 원도 태권도 체육관","029244330","02831","서울특별시 성북구 성북로4길 52","스(돈암동, 한신한진아파트)","22","태권도","127.0104756","37.5958787","장애인강좌",,
"11","서울","11500","강서구","맘결아동발달센터",,"07629","서울특별시 강서구 마곡중앙1로 72","1동 3층 303호 맘결아동발달센터(마곡동, 마곡엠밸리10단지)","03","기타종목","126.8197352","37.5597333","장애인강좌",,
"11","서울","11530","구로구","더본필라테스",,"08365","서울특별시 구로구 천왕로 36","2층 203호 더본필라테스(천왕동)","79","필라테스","126.8393789","37.4808802","장애인강좌",,
"11","서울","11140","중구","회현체육센터","0222808430","04633","서울특별시 중구 퇴계로12길 78","회현체육센터(회현동1가)","03","기타종목","126.9816270","37.5560415","장애인강좌",,
"11","서울","11500","강서구","위키즈아동운동발달센터","0226624754","07600","서울특별시 강서구 공항대로 103","업무상가동 308호(마곡동, 마곡 엠밸리 9단지)","03","기타종목","126.8188664","37.5620749","장애인강좌",,
"11","서울","11110","종로구","클래식바디짐","027471622","03095","서울특별시 종로구 지봉로 87","지하1층 클래식바디짐(창신동, 창신3동주민센터)","25","헬스","127.0151761","37.5778444","장애인강좌",,
"11","서울","11410","서대문구","삼성골드스포츠클럽","023023114","03686","서울특별시 서대문구 증가로 191","삼성골드스포츠클럽(남가좌동, DMC래미안클라시스)","12","수영","126.9166617","37.5782468","장애인강좌",,
"11","서울","11740","강동구","경희대SKY체육관","024286777","05276","서울특별시 강동구 고덕로80길 123","2층 경희대SKY체육관(상일동)","22","태권도","127.1655960","37.5509309","장애인강좌",,
"11","서울","11500","강서구","유연필라테스","0257527382","07714","서울특별시 강서구 강서로 177","영빌딩 6층 601호(화곡동)","79","필라테스","126.8395042","37.5421838","장애인강좌",,
"11","서울","11215","광진구","경희대강한친구들","024448736","05118","서울특별시 광진구 광나루로56길 34","현대2단지상가 3층(구의동)","22","태권도","127.0966512","37.5381387","장애인강좌",,
"11","서울","11290","성북구","키노짐스포츠","029314040","02802","서울특별시 성북구 정릉로52길 5","지하1층(종암동)","04","농구","127.0302420","37.6037836","장애인강좌",,
"11","서울","11530","구로구","주식회사 에이치에스 우리사회서비스센터","0220606046","08274","서울특별시 구로구 경인로 290-42","대학본부 1층(개봉동)","03","기타종목","126.8515463","37.4964113","장애인강좌",,
"11","서울","11650","서초구","키덜트골프클럽","025859710","06725","서울특별시 서초구 남부순환로333길 32","B02(서초동)","02","골프","127.0208512","37.4838565","장애인강좌",,
"11","서울","11620","관악구","룩스필라테스 봉천점","0256631333","08784","서울특별시 관악구 남부순환로 1724","6층(봉천동)","79","필라테스","126.9416417","37.4821833","장애인강좌",,
"11","서울","11350","노원구","엘리트체육관","029373450","01606","서울특별시 노원구 동일로241가길 18","2층 엘리트 태권도(상계동)","22","태권도","127.0540164","37.6766050","장애인강좌",,
"11","서울","11410","서대문구","헬스보이짐  프리미엄 신촌점","023632003","03779","서울특별시 서대문구 신촌로 109","지하4층 헬스보이짐(창천동)","25","헬스","126.9381006","37.5557525","장애인강좌",,
"11","서울","11530","구로구","경희대드림태권도","0226850010","08255","서울특별시 구로구 부일로15길 40","2층 경희대드림태권도(궁동)","22","태권도","126.8330619","37.4946991","장애인강좌",,
"11","서울","11410","서대문구","커브스 홍제클럽","023931330","03636","서울특별시 서대문구 통일로39가길 30","5층(홍제동)","25","헬스","126.9428594","37.5893118","장애인강좌",,
"11","서울","11200","성동구","팀키스","0222350904","04724","서울특별시 성동구 동호로 100","상가4층 팀키스(금호동3가, 두산아파트)","25","헬스","127.0164657","37.5506428","장애인강좌",,
"11","서울","11440","마포구","마포푸르메스포츠센터","0260709270","03918","서울특별시 마포구 월드컵북로 494","지하1층 마포푸르메스포츠센터(상암동)","12","수영","126.8805264","37.5846589","장애인강좌",,
"11","서울","11440","마포구","마포장애인종합복지관","023066212","03965","서울특별시 마포구 성산로4길 35","1층 사무실(성산동)","02","골프","126.9088693","37.5637934","장애인강좌",,
"11","서울","11440","마포구","마포문화재단 마포아트센터","0232748500","04136","서울특별시 마포구 대흥로20길 28","마포아트센터(대흥동)","12","수영","126.9455362","37.5498966","장애인강좌",,
"11","서울","11440","마포구","마포구청 당구아카데미","0231539874","03937","서울특별시 마포구 월드컵로 212","11층 생활체육과(성산동)","112","당구","126.9014910","37.5663245","장애인강좌",,
"11","서울","11410","서대문구","국가대표튼튼태권도","023913376","03604","서울특별시 서대문구 홍은중앙로 89","3층 국가대표튼튼태권도(홍은동)","22","태권도","126.9473706","37.5990313","장애인강좌",,
"11","서울","11410","서대문구","경희대백련태권도장","0232178731","03650","서울특별시 서대문구 연희로41길 71","2층(홍은동)","22","태권도","126.9348088","37.5917437","장애인강좌",,
"11","서울","11710","송파구","다이노스 스포츠","024350320","05809","서울특별시 송파구 송이로36길 62-19","2층(문정동)","20","축구(풋살)","127.1266717","37.4842756","장애인강좌",,
"11","서울","11680","강남구","삼성피트니스","0216709699","06154","서울특별시 강남구 봉은사로 474","B1 삼성피트니스(삼성동, 쌍용 플래티넘)","25","헬스","127.0519533","37.5123688","장애인강좌",,
"11","서울","11380","은평구","플라잉 온 필라테스","0260151100","03418","서울특별시 은평구 연서로3가길 14","2층(역촌동)","79","필라테스","126.9149036","37.6035409","장애인강좌",,
"11","서울","11590","동작구","경희대상현태권도","028224625","07039","서울특별시 동작구 상도로 346-1","2층 단지내상가 201호 태권도(상도동, 힐스테이트 상도 센트럴파크)","22","태권도","126.9511563","37.4958315","장애인강좌",,
"11","서울","11590","동작구","륜태권도","0262087082","06935","서울특별시 동작구 장승배기로 119","삼거리빌딩401호 륜태권도(노량진동)","22","태권도","126.9398854","37.5082692","장애인강좌",,
"11","서울","11215","광진구","삼손스포츠수기명가",,"05034","서울특별시 광진구 아차산로65길 14","B1층 삼손스포츠수기명가(구의동)","25","헬스","127.0940943","37.5410236","장애인강좌",,
"11","서울","11320","도봉구","용인대석사 참바른태권도","029988880","01379","서울특별시 도봉구 우이천로32길 67","상가3층(쌍문동, 동익파크아파트)","22","태권도","127.0249627","37.6518106","장애인강좌",,
"11","서울","11305","강북구","경희키즈태권짐","029891045","01224","서울특별시 강북구 오현로32길 28","2층(번동)","22","태권도","127.0406846","37.6280232","장애인강좌",,
"11","서울","11470","양천구","경희대석사 비룡태권도","0220658164","08106","서울특별시 양천구 신정로 312","뉴프라자 5층(신정동)","22","태권도","126.8555404","37.5132891","장애인강좌",,
"11","서울","11380","은평구","한국체대수태권도장","023514731","03415","서울특별시 은평구 갈현로 108","2층 한국체대 수 태권도장(역촌동)","22","태권도","126.9109197","37.6074308","장애인강좌",,
"11","서울","11440","마포구","마포구민체육센터","023247800","03954","서울특별시 마포구 월드컵로25길 190","1층 관리사무실(망원동)","25","헬스","126.8969649","37.5567653","장애인강좌",,
"11","서울","11590","동작구","예스휘트니스센터","0232803030","07042","서울특별시 동작구 국사봉1길 32","3층(상도동)","25","헬스","126.9303664","37.4988140","장애인강좌",,
"11","서울","11350","노원구","희망탁구",,"01896","서울특별시 노원구 석계로 67","희망탁구(월계동)","21","탁구","127.0626021","37.6207114","장애인강좌",,
"11","서울","11710","송파구","올림픽수영장","0221803728","05540","서울특별시 송파구 올림픽로 424","올림픽수영장(방이동)","25","헬스","127.1229590","37.5209340","장애인강좌",,
"11","서울","11470","양천구","키즈 엘리트","0269290079","08014","서울특별시 양천구 목동동로10길 24","지하 1층 키즈엘리트 수영장(신정동)","12","수영","126.8723647","37.5193552","장애인강좌",,
"11","서울","11590","동작구","국심검도관","025846820","07011","서울특별시 동작구 사당로16길 7","4층 국심검도관(사당동)","25","헬스","126.9741008","37.4830479","장애인강좌",,
"11","서울","11410","서대문구","마카롱PT","0227483103","03646","서울특별시 서대문구 통일로35길 14-4","제니스오피스텔 B201호 마카롱PT(홍제동)","25","헬스","126.9458643","37.5865622","장애인강좌",,
"11","서울","11200","성동구","마장탁구클럽","0260810840","04759","서울특별시 성동구 마장로 284","3층(마장동)","21","탁구","127.0412778","37.5653566","장애인강좌",,
"11","서울","11305","강북구","경희대석사체육관","029991140","01075","서울특별시 강북구 삼양로100길 20","3층(수유동)","22","태권도","127.0172655","37.6395891","장애인강좌",,
"11","서울","11170","용산구","경희대석사태권도","027760791","04332","서울특별시 용산구 후암로 47","(후암동)","22","태권도","126.9771220","37.5500564","장애인강좌",,
"11","서울","11200","성동구","마장국민체육센터","0222047641","04759","서울특별시 성동구 마조로11길 6","마장국민체육센터(마장동)","25","헬스","127.0407835","37.5621277","장애인강좌",,
"11","서울","11710","송파구","프리윌아동청소년발달센터","0230128777","05801","서울특별시 송파구 새말로 167","이주빌딩 2층 프리윌아동청소년발달센터(문정동)","03","기타종목","127.1313670","37.4854575","장애인강좌",,
"11","서울","11230","동대문구","화랑태권도","0222448996","02496","서울특별시 동대문구 망우로16길 26","2층(휘경동)","22","태권도","127.0611243","37.5890111","장애인강좌",,
"11","서울","11620","관악구","태결검도관",,"08785","서울특별시 관악구 쑥고개로 73-1","2층(봉천동)","01","검도","126.9447740","37.4796243","장애인강좌",,
"11","서울","11290","성북구","유니버설 피트니스",,"02834","서울특별시 성북구 성북로6길 12","204호 유니버설 피트니스(성북동, 성북동 근생·도시형생활주택)","25","헬스","127.0051529","37.5899628","장애인강좌",,
"11","서울","11200","성동구","프롬더바디","0276161236","04768","서울특별시 성동구 왕십리로 115","9층 905호 프롬더바디(성수동1가)","25","헬스","127.0441277","37.5479193","장애인강좌",,
"11","서울","11260","중랑구","합기도 유락관 호신술","024941394","02072","서울특별시 중랑구 용마산로 563","진일빌딩5층(신내동)","75","합기도","127.1002144","37.6012584","장애인강좌",,
